ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
ID	LABEL	TYPE	SC %	A IAO:0000115	>A IAO:0000119	A rdfs:comment	AI skos:closeMatch	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|
METPO:1000059	phenotype	owl:Class	quality	A quality or combination of qualities of an organism that results from the interaction between its genetic makeup and environmental factors, distinguishing specific instances of a species from other instances of the same species.	OGMS:0000023 (phenotype)|PATO:0000001 (quality)|BFO:0000019 (quality)	Reasoning: Follows genus-differentia form with 'quality' as genus. Aligns with OGMS definition and PATO quality concepts. Emphasizes genotype-environment interaction as differentia. | Parent class ID: PATO:0000001							
METPO:1000623	moderately halophilic	owl:Class	halophily preference	A halophily preference characterized by optimal growth in environments with moderate salt concentrations, typically between 3-15% NaCl.	ENVO:00002230 (saline environment)|PATO:0001404 (concentration)|MEO:0000210 (halophile)	Reasoning: Specifies the moderate range that distinguishes this from slightly or extremely halophilic organisms. Based on established halophile classifications. | Parent class ID: PATO:0001655							
METPO:1000639	chemolithotrophic	owl:Class	trophic type	A trophic type characterized by the use of inorganic chemical compounds as electron donors and carbon dioxide as the primary carbon source for energy generation and biosynthesis.	ENVO:00002152 (chemolithotrophic organism)|GO:0015980 (energy derivation by oxidation of reduced inorganic compounds)|MEO:0000056 (chemolithotroph)	Reasoning: Follows genus-differentia pattern. Distinguishes from other trophic types by specifying both inorganic electron donors and CO2 fixation. | Parent class ID: GO:0006091							
METPO:1000803	Oxidative phosphorylation	owl:Class	metabolic process	A metabolic process that generates ATP through the transfer of electrons from electron donors to electron acceptors via redox reactions, coupled to the pumping of protons across a membrane to create an electrochemical gradient.	GO:0006119 (oxidative phosphorylation)|KEGG:00190 (Oxidative phosphorylation)|MetaCyc:PWY-5690	Reasoning: Standard definition following genus-differentia form. Aligns with GO oxidative phosphorylation process. | Parent class ID: GO:0008152							
METPO:1002002	Mn(IV)-dependent methane oxidation	owl:Class	metal and metalloid respiration	A metal and metalloid respiration process that oxidizes methane using manganese(IV) as the terminal electron acceptor under anaerobic conditions.	GO:0015977 (carbon fixation)|CHEBI:35108 (manganese(IV))|ENVO:01000680 (methane-rich environment)	Reasoning: Specifies the unique coupling of methane oxidation with Mn(IV) reduction. Distinguishes from other methane oxidation pathways. | Parent class ID: GO:0015977							
METPO:1000667	bacillus shaped	owl:Class	cell shape	A cell shape characterized by an elongated, rod-like cylindrical morphology with relatively parallel sides and rounded ends.	PATO:0002219 (cylindrical)|GO:0009877 (bacillus-type cell morphology)|BTO:0000112 (bacterial cell)	Reasoning: Describes the characteristic rod shape. Aligns with standard microbiological morphology descriptions. | Parent class ID: PATO:0000052							
METPO:1000656	photoautotrophic	owl:Class	trophic type	A trophic type characterized by the use of light as the energy source and carbon dioxide as the primary carbon source for biosynthesis.	ENVO:00002033 (photoautotrophic organism)|GO:0015979 (photosynthesis)|MEO:0000089 (photoautotroph)	Reasoning: Combines photo- (light energy) and autotrophic (CO2 fixation) characteristics. Standard definition in microbiology. | Parent class ID: GO:0006091							
METPO:1000678	oval shaped	owl:Class	cell shape	A cell shape characterized by an ellipsoidal morphology with rounded ends, resembling an elongated sphere.	PATO:0002266 (ellipsoidal)|GO:0008360 (regulation of cell shape)|BTO:0000112 (bacterial cell)	Reasoning: Describes the oval/ellipsoidal geometry distinguishing it from spherical or rod shapes. | Parent class ID: PATO:0000052							
METPO:1001102	biosafety level 1	owl:Class	biosafety level	A biosafety level designation indicating organisms that pose minimal potential hazard to laboratory workers and the environment, requiring only standard microbiological practices.	NCIT:C93202 (Biosafety Level 1)|OBI:0001929 (biosafety level)|CDC Biosafety Guidelines	Reasoning: Follows CDC/WHO biosafety level definitions. Emphasizes minimal risk as differentia. | Parent class ID: NCIT:C93220							
METPO:1000060	metabolism	owl:Class	biological process	A biological process comprising the chemical reactions and pathways that maintain life in an organism, including the breakdown of substances for energy and the synthesis of cellular components.	GO:0008152 (metabolic process)|NCIT:C16858 (Metabolism)|BTO:0001087 (metabolic pathway)	Reasoning: Standard definition encompassing both catabolism and anabolism. Aligns with GO metabolic process. | Parent class ID: GO:0008150							
METPO:1000670	curved shaped	owl:Class	cell shape	A cell shape characterized by a bent or curved cylindrical morphology, including comma-shaped, S-shaped, or spiral forms.	PATO:0002007 (curved)|GO:0008360 (regulation of cell shape)|BTO:0001758 (vibrio)	Reasoning: Encompasses various curved morphologies. Distinguishes from straight rod shapes. | Parent class ID: PATO:0000052							
METPO:1000800	respiration	owl:Class	metabolic process	A metabolic process that generates energy through the oxidation of electron donors coupled to the reduction of terminal electron acceptors, involving electron transport chains and chemiosmotic ATP synthesis.	GO:0045333 (cellular respiration)|KEGG:00190 (Oxidative phosphorylation)|MetaCyc:RESPIRATION	Reasoning: Definition provided in TSV emphasizes terminal electron acceptors. Aligns with cellular respiration concepts. | Parent class ID: GO:0008152							
METPO:1000664	organoheterotrophic	owl:Class	trophic type	A trophic type characterized by the use of organic compounds as both electron donors and primary carbon sources for energy generation and biosynthesis.	ENVO:00002035 (heterotrophic organism)|GO:0009055 (electron carrier activity)|MEO:0000068 (heterotroph)	Reasoning: Specifies organic compound utilization for both energy and carbon. Standard heterotroph definition. | Parent class ID: GO:0006091							
METPO:1000334	NaCl range	owl:Class	phenotype	A phenotype defined by the span of sodium chloride concentrations within which a microorganism maintains osmotic balance, cellular functions, and growth capability.	PATO:0001682 (salt concentration)|ENVO:00002230 (saline environment)|PATO:0000060 (spatial pattern)	Reasoning: Uses provided definition emphasizing osmotic balance and functional range. Relates to halotolerance phenotypes. | Parent class ID: PATO:0000001							
METPO:1000660	phototrophic	owl:Class	trophic type	A trophic type characterized by the use of light as the primary energy source for metabolic processes, regardless of carbon source.	ENVO:00002034 (phototrophic organism)|GO:0015979 (photosynthesis)|MEO:0000088 (phototroph)	Reasoning: Emphasizes light energy utilization. Parent category for photoautotrophs and photoheterotrophs. | Parent class ID: GO:0006091							
METPO:1003013	radiophilic	owl:Class	trophic type	A trophic type characterized by the ability to tolerate or thrive in environments with high levels of ionizing radiation.	ENVO:01001525 (radiation environment)|PATO:0001439 (ionizing radiation quality)|NCIT:C17053 (Radiation)	Reasoning: Based on TSV comment 'high radiation'. Defines organisms adapted to radiation exposure. | Parent class ID: GO:0006091							
