ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
ID	LABEL	TYPE	SC %	A IAO:0000115	>A IAO:0000119	A rdfs:comment	AI skos:closeMatch	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|
METPO:1000059	phenotype	owl:Class	quality	A (combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.	OGMS:0000023		https://biolink.github.io/biolink-model/PhenotypicQuality						
METPO:1000804	Substrate-level phosphorylation	owl:Class	metabolism										
METPO:1000638	chemolithoheterotrophic	owl:Class	trophic type									chemolithoheterotroph	
METPO:1000304	temperature optimum (growth range)	owl:Class	phenotype	The specific temperature at which an organism exhibits maximum growth rate									
METPO:1000648	lithoheterotrophic	owl:Class	trophic type									lithoheterotroph	
METPO:1000525	microbe	owl:Class	material entity	An organism or virus or viron that is too small to be viewed by the unaided eye.	OHMI:0000460	METPO is primarily concerned with unicellular, prokaryotic life forms, i.e. bacteria and archea, including the cases of giant bacteria like Thiomargarita	https://biolink.github.io/biolink-model/OrganismTaxon						
METPO:1000872	non-spore forming	owl:Class	sporulation							no		no	
METPO:1000060	metabolism	owl:Class	biological process										
METPO:1000186	material entity	owl:Class		An object or portion of a substance or mixture of substances that consists of matter									
METPO:1002001	Fe(III)-dependent methane oxidation	owl:Class	Metal and metalloid respiration										
METPO:1000687	branched shaped	owl:Class	cell shape							branced			
METPO:1000649	lithotrophic	owl:Class	trophic type									lithotroph	
METPO:1003014	barophilic	owl:Class	trophic type	high pressure									
METPO:1001102	biosafety level 1	owl:Class	biosafety level										
METPO:1000670	curved shaped	owl:Class	cell shape								https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	curved-shaped	s_curved_spiral
METPO:1000679	pleomorphic shaped	owl:Class	cell shape							pleomorphic	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	pleomorphic-shaped	s_star_dumbbell_pleomorphic
METPO:1001004	temperature delta observation	owl:Class	observation	An observation specializing temperature observation for tolerance breadth (delta) data.									
METPO:1003012	saccharophilic	owl:Class	trophic type	high sugar									
METPO:1001002	growth temperature observation	owl:Class	observation	An observation specializing temperature observation for general growth temperature data.									
METPO:1002006	Syntrophy	owl:Class	metabolism										
METPO:1002008	Nitrogen fixation	owl:Class	Nitrogen compound respiration							nitrogen_fixation		diazotroph	
METPO:1000624	non halophilic	owl:Class	halophily preference							non-halophilic		non-halophilic	
METPO:1000620	halophilic	owl:Class	halophily preference							halophilic		halophilic	
METPO:1003009	alkalotolerant	owl:Class	pH growth preference					alkalitolerant					
METPO:1000235	pH range (growth tolerance)	owl:Class	phenotype	The span of pH values within which an organism can grow									
METPO:1000637	chemolithoautotrophic	owl:Class	trophic type									chemolithoautotroph	
METPO:1000667	bacillus shaped	owl:Class	cell shape							bacillus			
METPO:1000696	triangular shaped	owl:Class	cell shape							triangular			
METPO:1001101	biosafety level	owl:Class	quality										
METPO:1000720	facultative psychrophilic	owl:Class	temperature preference						facultative psychrophile	facultative psychrophilic			
METPO:1000330	temperature range (metabolic viability)	owl:Class	biological process	The span of temperatures within which a microorganism can maintain metabolic functions and population viability.									
METPO:1000640	chemoorganoheterotrophic	owl:Class	trophic type									chemoorganoheterotroph	
METPO:1000635	chemoautotrophic	owl:Class	trophic type									chemoautotroph	
METPO:1002007	Sulfur disproportionation	owl:Class	Sulfur and sulfoxide compound respiration										
METPO:1000627	euryhaline	owl:Class	halophily preference							euryhaline			
METPO:1000682	spore shaped	owl:Class	cell shape									spore-shaped	
METPO:1000650	methanotrophic	owl:Class	trophic type									methanotroph	
METPO:1000690	fusiform shaped	owl:Class	cell shape							fusiform			
METPO:1000701	motility	owl:Class	phenotype							motility		Morphology.cell morphology.motility|General.keywords	
METPO:1001105	biosafety level 4	owl:Class	biosafety level										
METPO:1003004	obligately alkaphilic	owl:Class	pH growth preference					obligate alkaliphile|obligately alkaliphilic|obligate alkaphilic					
METPO:1000678	oval shaped	owl:Class	cell shape									oval-shaped	
METPO:1000634	chemoautolithotrophic	owl:Class	trophic type									chemoautolithotroph	
METPO:1002035	Ammonia oxidation	owl:Class	Nitrogen compound respiration										
METPO:1000641	chemotrophic	owl:Class	trophic type									chemotroph	
METPO:1000651	methylotrophic	owl:Class	trophic type							methylotrophy		methylotroph	
METPO:1002036	Nitrite oxidation	owl:Class	Nitrogen compound respiration										
METPO:1002000	Sulfate-dependent methane oxidation	owl:Class	respiration										
METPO:1000601	oxygen preference	owl:Class	phenotype							metabolism		Physiology and metabolism.oxygen tolerance.oxygen tolerance|General.keywords	
METPO:1000623	moderately halophilic	owl:Class	halophily preference							moderate-halophilic		moderately halophilic	
METPO:1000646	hydrogenotrophic	owl:Class	trophic type										
METPO:1000642	copiotrophic	owl:Class	nutrient adaptation									copiotroph	
METPO:1000704	flagellated	owl:Class	motile							flagella			
METPO:1000805	Electron transfer	owl:Class	metabolism										
METPO:1000688	coccobacillus shaped	owl:Class	cell shape							coccobacillus			
METPO:1000689	disc shaped	owl:Class	cell shape							disc			
METPO:1000699	gram negative	owl:Class	gram stain							negative	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	negative	G_negative
METPO:1001103	biosafety level 2	owl:Class	biosafety level										
